% op straat op intimiderende wijze:  - Subwijken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Oog in Al, Welgelegen;Lombok, Leidseweg;Nieuw Engeland, Schepenbrt;Pijlsweerd;Ondiep, 2e Daalsebrt;Zuilen-west;Zuilen-noord en -oost;Taagdreef, Wolgadreef;Zamenhofdreef, Neckardreef;Vechtzoom, Klopvaart;Zambesidreef, Tigrisdreef;Votulast;Tuindorp, Voordorp;Wittevrouwen, Zeeheldenbrt;Oudwijk, Buiten Wittevrouwen;Abstede, Gansstraat;Wilhelminapark, Rijnsweerd;Binnenstad city- en winkelgeb;Binnenstad woongebied;Lunetten;Oud Hoograven, Tolsteeg;Nieuw Hoograven, Bokkenbrt;Dichterswijk, Rivierenwijk;Transwijk;Kanaleneiland;Terwijde, De Wetering;Het Zand;Leidsche Rijn Centrum e.o;Parkwijk, Langerak;Leidsche Rijn-zuid;Vleuten, Haarzuilens;Veldhuizen, Vleuterweide;De Meern;Rijnenburg;onbekend
bespuugd [2023];2%;1%;1%;3%;4%;2%;3%;2%;0%;1%;6%;1%;2%;1%;1%;1%;3%;3%;2%;2%;3%;3%;4%;2%;2%;2%;1%;3%;1%;.;1%;2%;1%;.;
bespuugd [2025];3%;10%;5%;4%;6%;6%;3%;6%;4%;7%;5%;4%;2%;2%;3%;2%;2%;9%;5%;5%;1%;2%;3%;3%;5%;3%;3%;3%;4%;.;4%;2%;4%;.;
in het nauw gedreven [2019];1%;5%;1%;1%;1%;3%;2%;5%;0%;4%;3%;1%;2%;2%;1%;2%;2%;2%;3%;4%;2%;3%;2%;2%;1%;2%;1%;4%;3%;.;1%;1%;0%;.;.
in het nauw gedreven [2021];1%;4%;3%;2%;2%;1%;3%;3%;2%;2%;2%;2%;2%;0%;2%;3%;2%;4%;3%;4%;0%;3%;1%;2%;3%;2%;2%;2%;1%;.;1%;2%;4%;.;.
in het nauw gedreven [2023];3%;2%;4%;2%;3%;2%;2%;4%;5%;1%;4%;2%;2%;3%;3%;2%;2%;3%;7%;2%;5%;3%;3%;2%;2%;3%;2%;3%;1%;.;2%;1%;2%;.;
in het nauw gedreven [2025];1%;5%;1%;1%;3%;2%;6%;5%;2%;5%;3%;3%;2%;3%;1%;4%;2%;7%;5%;3%;2%;3%;2%;4%;3%;3%;2%;1%;3%;.;2%;3%;1%;.;
om seks gevraagd [2019];2%;1%;0%;1%;0%;1%;0%;0%;0%;3%;0%;2%;0%;1%;1%;2%;2%;2%;2%;4%;1%;1%;1%;1%;1%;0%;0%;1%;1%;.;1%;0%;0%;.;.
om seks gevraagd [2021];0%;1%;1%;1%;1%;1%;1%;1%;1%;1%;0%;1%;1%;2%;1%;1%;1%;1%;3%;1%;0%;0%;1%;1%;1%;0%;0%;1%;0%;.;0%;0%;1%;.;.
om seks gevraagd [2023];0%;1%;1%;2%;1%;1%;1%;1%;1%;1%;2%;1%;1%;0%;2%;0%;2%;1%;2%;1%;1%;2%;1%;2%;0%;1%;1%;1%;1%;.;0%;0%;0%;.;
om seks gevraagd [2025];1%;2%;2%;2%;1%;0%;1%;0%;1%;1%;1%;0%;1%;1%;1%;2%;1%;4%;2%;1%;1%;1%;2%;1%;1%;0%;0%;1%;1%;.;0%;0%;0%;.;
betast [2019];0%;2%;0%;1%;1%;1%;1%;1%;1%;1%;1%;0%;0%;0%;1%;1%;2%;1%;1%;2%;2%;1%;0%;1%;2%;1%;0%;2%;0%;.;0%;0%;0%;.;.
betast [2021];0%;0%;1%;1%;1%;2%;0%;1%;0%;1%;2%;1%;1%;1%;0%;0%;1%;2%;1%;1%;2%;0%;0%;1%;1%;0%;0%;0%;0%;.;1%;0%;1%;.;.
betast [2023];0%;1%;2%;1%;1%;1%;0%;0%;0%;0%;2%;1%;0%;0%;1%;2%;1%;0%;1%;1%;1%;0%;0%;1%;0%;0%;0%;1%;0%;.;0%;0%;0%;.;
betast [2025];1%;2%;1%;0%;1%;0%;1%;2%;2%;0%;1%;1%;1%;2%;0%;2%;1%;1%;1%;1%;0%;2%;1%;1%;2%;0%;2%;2%;2%;.;0%;0%;1%;.;
achternagelopen [2019];5%;7%;4%;4%;5%;5%;6%;7%;5%;6%;5%;4%;4%;9%;5%;5%;8%;7%;10%;5%;8%;4%;3%;7%;6%;3%;2%;3%;3%;.;2%;4%;2%;.;.
achternagelopen [2021];4%;8%;10%;7%;6%;5%;4%;9%;9%;8%;4%;3%;2%;6%;7%;3%;9%;12%;8%;7%;6%;4%;3%;7%;5%;2%;2%;4%;3%;.;2%;4%;2%;.;.
achternagelopen [2023];7%;7%;11%;11%;7%;6%;6%;6%;9%;5%;8%;8%;5%;10%;8%;7%;5%;13%;11%;8%;6%;10%;6%;7%;6%;5%;3%;6%;3%;.;4%;4%;2%;.;
achternagelopen [2025];5%;13%;7%;11%;10%;9%;10%;10%;6%;12%;9%;10%;5%;6%;6%;10%;7%;20%;17%;9%;7%;10%;5%;8%;8%;9%;9%;7%;6%;.;5%;5%;4%;.;
niet lastiggevallen [2019];71%;52%;60%;54%;58%;64%;60%;65%;68%;73%;59%;67%;74%;62%;63%;63%;59%;58%;54%;65%;65%;68%;66%;59%;62%;71%;75%;65%;74%;.;82%;72%;80%;.;.
niet lastiggevallen [2021];73%;57%;57%;65%;57%;57%;63%;59%;66%;60%;63%;65%;70%;65%;61%;64%;64%;56%;61%;67%;60%;68%;64%;63%;62%;74%;75%;71%;76%;.;79%;78%;78%;.;.
niet lastiggevallen [2023];64%;57%;59%;51%;56%;55%;61%;62%;54%;69%;69%;61%;73%;65%;58%;60%;60%;49%;51%;62%;57%;62%;58%;60%;57%;70%;68%;68%;76%;.;79%;71%;77%;.;
niet lastiggevallen [2025];60%;42%;55%;47%;52%;56%;52%;50%;57%;52%;58%;63%;70%;67%;60%;58%;57%;44%;49%;60%;58%;57%;61%;53%;48%;57%;60%;62%;67%;.;70%;67%;67%;.;
wil dat liever niet zeggen [2019];2%;2%;4%;4%;3%;3%;5%;2%;2%;1%;13%;1%;1%;1%;0%;1%;1%;0%;2%;3%;1%;6%;2%;4%;9%;1%;3%;4%;2%;.;1%;2%;2%;.;.
wil dat liever niet zeggen [2021];4%;5%;3%;2%;3%;4%;2%;7%;5%;8%;9%;1%;1%;1%;1%;3%;2%;1%;0%;4%;1%;7%;4%;2%;5%;3%;1%;1%;0%;.;1%;1%;1%;.;.
wil dat liever niet zeggen [2023];1%;3%;3%;1%;4%;3%;7%;6%;8%;6%;5%;2%;1%;1%;2%;3%;2%;2%;2%;4%;1%;5%;3%;4%;7%;4%;4%;1%;1%;.;2%;3%;4%;.;
