%  - Subwijken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Oog in Al, Welgelegen;Lombok, Leidseweg;Nieuw Engeland, Schepenbrt;Pijlsweerd;Ondiep, 2e Daalsebrt;Zuilen-west;Zuilen-noord en -oost;Taagdreef, Wolgadreef;Zamenhofdreef, Neckardreef;Vechtzoom, Klopvaart;Zambesidreef, Tigrisdreef;Votulast;Tuindorp, Voordorp;Wittevrouwen, Zeeheldenbrt;Oudwijk, Buiten Wittevrouwen;Abstede, Gansstraat;Wilhelminapark, Rijnsweerd;Binnenstad city- en winkelgeb;Binnenstad woongebied;Lunetten;Oud Hoograven, Tolsteeg;Nieuw Hoograven, Bokkenbrt;Dichterswijk, Rivierenwijk;Transwijk;Kanaleneiland;Terwijde, De Wetering;Het Zand;Leidsche Rijn Centrum e.o;Parkwijk, Langerak;Leidsche Rijn-zuid;Vleuten, Haarzuilens;Veldhuizen, Vleuterweide;De Meern;Rijnenburg;onbekend
% voelt zich vaak onveilig in eigen buurt [2007];2%;2%;3%;4%;2%;2%;11%;6%;13%;4%;6%;2%;1%;0%;1%;3%;0%;1%;0%;1%;1%;8%;2%;7%;13%;0%;.;-;4%;-;1%;2%;2%;-;-
% voelt zich vaak onveilig in eigen buurt [2008];2%;4%;5%;6%;2%;4%;7%;6%;10%;8%;8%;2%;1%;0%;0%;0%;1%;1%;1%;3%;1%;6%;2%;6%;10%;3%;0%;.;2%;.;1%;1%;1%;.;-
% voelt zich vaak onveilig in eigen buurt [2009];1%;1%;4%;6%;4%;6%;9%;8%;11%;7%;8%;2%;1%;1%;0%;1%;1%;3%;1%;2%;1%;5%;3%;6%;8%;1%;0%;.;2%;.;1%;1%;1%;.;-
% voelt zich vaak onveilig in eigen buurt [2010];5%;4%;6%;2%;5%;4%;6%;8%;5%;4%;9%;2%;1%;0%;0%;1%;1%;1%;1%;2%;0%;4%;3%;7%;6%;4%;1%;.;2%;.;1%;3%;1%;.;.
% voelt zich vaak onveilig in eigen buurt [2011];2%;4%;5%;7%;4%;2%;7%;8%;9%;10%;12%;1%;1%;1%;0%;3%;1%;3%;1%;3%;1%;4%;1%;7%;14%;6%;1%;.;4%;.;1%;2%;2%;.;-
% voelt zich vaak onveilig in eigen buurt [2013];1%;7%;2%;3%;2%;4%;8%;5%;8%;11%;7%;3%;1%;0%;1%;3%;1%;7%;1%;3%;1%;7%;4%;2%;11%;6%;3%;.;4%;.;1%;1%;2%;.;-
% voelt zich vaak onveilig in eigen buurt [2015];2%;6%;3%;4%;2%;4%;5%;8%;7%;12%;14%;2%;2%;0%;0%;1%;1%;2%;2%;3%;0%;5%;2%;4%;12%;2%;1%;.;2%;.;0%;3%;2%;.;
% voelt zich vaak onveilig in eigen buurt [2017];1%;6%;2%;3%;4%;3%;7%;8%;10%;10%;9%;1%;1%;1%;1%;3%;0%;2%;1%;6%;2%;4%;3%;3%;9%;3%;0%;.;1%;.;3%;2%;2%;.;
% voelt zich vaak onveilig in eigen buurt [2019];1%;5%;2%;2%;3%;4%;4%;11%;7%;11%;9%;3%;1%;2%;0%;0%;1%;3%;2%;3%;3%;5%;2%;6%;10%;1%;1%;4%;2%;.;2%;1%;1%;.;.
% voelt zich vaak onveilig in eigen buurt [2021];3%;4%;3%;4%;4%;3%;7%;10%;7%;8%;6%;2%;2%;2%;1%;0%;1%;7%;2%;7%;3%;5%;1%;3%;9%;3%;1%;4%;3%;.;0%;1%;3%;.;.
% voelt zich vaak onveilig in eigen buurt [2023];3%;5%;5%;2%;4%;5%;7%;8%;8%;13%;13%;1%;1%;1%;1%;2%;0%;3%;3%;6%;4%;5%;4%;6%;10%;3%;3%;4%;1%;.;2%;3%;3%;.;
% voelt zich vaak onveilig in eigen buurt [2025];4%;10%;1%;6%;4%;7%;9%;13%;11%;12%;11%;4%;2%;1%;2%;3%;2%;14%;8%;6%;3%;9%;4%;6%;15%;5%;4%;5%;3%;.;5%;4%;3%;.;
% vaak last van jongeren op straat in de buurt [2006];17%;18%;21%;21%;33%;15%;22%;45%;51%;31%;41%;20%;11%;3%;5%;26%;5%;33%;23%;12%;11%;30%;20%;29%;65%;9%;.;-;11%;-;11%;7%;15%;-;-
% vaak last van jongeren op straat in de buurt [2007];21%;19%;13%;22%;30%;22%;34%;34%;37%;26%;39%;20%;15%;4%;5%;27%;6%;36%;17%;12%;7%;32%;19%;26%;51%;4%;.;-;19%;-;10%;9%;13%;-;-
% vaak last van jongeren op straat in de buurt [2008];16%;18%;25%;20%;26%;19%;33%;35%;33%;32%;41%;16%;6%;4%;6%;22%;6%;26%;23%;18%;14%;32%;27%;27%;48%;12%;2%;.;23%;.;9%;14%;13%;.;-
% vaak last van jongeren op straat in de buurt [2009];9%;15%;13%;15%;20%;13%;23%;39%;24%;20%;31%;15%;10%;4%;4%;16%;4%;29%;14%;9%;8%;28%;18%;14%;37%;6%;4%;.;14%;.;5%;8%;5%;.;-
